"","sex","race","ethnic_origin","age","year","quarter","n_persons","median_weekly_earn"
"1","Both Sexes","All Races","All Origins","16 years and over",2010,1,96821000,754
"2","Both Sexes","All Races","All Origins","16 years and over",2010,2,99798000,740
"3","Both Sexes","All Races","All Origins","16 years and over",2010,3,101385000,740
"4","Both Sexes","All Races","All Origins","16 years and over",2010,4,100120000,752
"5","Both Sexes","All Races","All Origins","16 years and over",2011,1,98329000,755
"6","Both Sexes","All Races","All Origins","16 years and over",2011,2,100593000,753
"7","Both Sexes","All Races","All Origins","16 years and over",2011,3,101447000,753
"8","Both Sexes","All Races","All Origins","16 years and over",2011,4,101458000,764
"9","Both Sexes","All Races","All Origins","16 years and over",2012,1,100830000,769
"10","Both Sexes","All Races","All Origins","16 years and over",2012,2,102769000,771
"11","Both Sexes","All Races","All Origins","16 years and over",2012,3,103577000,758
"12","Both Sexes","All Races","All Origins","16 years and over",2012,4,103819000,775
"13","Both Sexes","All Races","All Origins","16 years and over",2013,1,102606000,773
"14","Both Sexes","All Races","All Origins","16 years and over",2013,2,104194000,776
"15","Both Sexes","All Races","All Origins","16 years and over",2013,3,105459000,771
"16","Both Sexes","All Races","All Origins","16 years and over",2013,4,104791000,786
"17","Both Sexes","All Races","All Origins","16 years and over",2014,1,104327000,796
"18","Both Sexes","All Races","All Origins","16 years and over",2014,2,106555000,780
"19","Both Sexes","All Races","All Origins","16 years and over",2014,3,107855000,790
"20","Both Sexes","All Races","All Origins","16 years and over",2014,4,107368000,799
"21","Both Sexes","All Races","All Origins","16 years and over",2015,1,107194000,808
"22","Both Sexes","All Races","All Origins","16 years and over",2015,2,108769000,801
"23","Both Sexes","All Races","All Origins","16 years and over",2015,3,110446000,803
"24","Both Sexes","All Races","All Origins","16 years and over",2015,4,109913000,825
"25","Both Sexes","All Races","All Origins","16 years and over",2016,1,109147000,830
"26","Both Sexes","All Races","All Origins","16 years and over",2016,2,111166000,824
"27","Both Sexes","All Races","All Origins","16 years and over",2016,3,112784000,827
"28","Both Sexes","All Races","All Origins","16 years and over",2016,4,111268000,849
"29","Both Sexes","All Races","All Origins","16 years and over",2017,1,110706000,865
"30","Both Sexes","All Races","All Origins","16 years and over",2017,2,113372000,859
"31","Both Sexes","All Races","All Origins","16 years and over",2017,3,114859000,859
"32","Both Sexes","All Races","All Origins","16 years and over",2017,4,114151000,857
"33","Both Sexes","All Races","All Origins","16 years and over",2018,1,113396000,881
"34","Both Sexes","All Races","All Origins","16 years and over",2018,2,115758000,876
"35","Both Sexes","All Races","All Origins","16 years and over",2018,3,117184000,887
"36","Both Sexes","All Races","All Origins","16 years and over",2018,4,115928000,900
"37","Both Sexes","All Races","All Origins","16 years and over",2019,1,116123000,905
"38","Both Sexes","All Races","All Origins","16 years and over",2019,2,117567000,908
"39","Both Sexes","All Races","All Origins","16 years and over",2019,3,118358000,919
"40","Both Sexes","All Races","All Origins","16 years and over",2019,4,118286000,936
"41","Both Sexes","All Races","All Origins","16 years and over",2020,1,115930000,957
"42","Both Sexes","All Races","All Origins","16 years and over",2020,2,104487000,1002
"43","Both Sexes","All Races","All Origins","16 years and over",2020,3,109652000,994
"44","Both Sexes","All Races","All Origins","16 years and over",2020,4,111480000,984
"45","Men","All Races","All Origins","16 years and over",2010,1,53028000,844
"46","Men","All Races","All Origins","16 years and over",2010,2,55235000,810
"47","Men","All Races","All Origins","16 years and over",2010,3,56473000,813
"48","Men","All Races","All Origins","16 years and over",2010,4,55500000,830
"49","Men","All Races","All Origins","16 years and over",2011,1,54251000,829
"50","Men","All Races","All Origins","16 years and over",2011,2,56053000,825
"51","Men","All Races","All Origins","16 years and over",2011,3,56900000,827
"52","Men","All Races","All Origins","16 years and over",2011,4,56678000,843
"53","Men","All Races","All Origins","16 years and over",2012,1,56022000,848
"54","Men","All Races","All Origins","16 years and over",2012,2,57319000,865
"55","Men","All Races","All Origins","16 years and over",2012,3,58069000,828
"56","Men","All Races","All Origins","16 years and over",2012,4,57735000,875
"57","Men","All Races","All Origins","16 years and over",2013,1,56829000,867
"58","Men","All Races","All Origins","16 years and over",2013,2,58164000,860
"59","Men","All Races","All Origins","16 years and over",2013,3,58990000,847
"60","Men","All Races","All Origins","16 years and over",2013,4,57995000,869
"61","Men","All Races","All Origins","16 years and over",2014,1,57654000,872
"62","Men","All Races","All Origins","16 years and over",2014,2,59714000,857
"63","Men","All Races","All Origins","16 years and over",2014,3,60502000,870
"64","Men","All Races","All Origins","16 years and over",2014,4,59930000,882
"65","Men","All Races","All Origins","16 years and over",2015,1,59361000,895
"66","Men","All Races","All Origins","16 years and over",2015,2,60638000,886
"67","Men","All Races","All Origins","16 years and over",2015,3,61974000,889
"68","Men","All Races","All Origins","16 years and over",2015,4,61013000,907
"69","Men","All Races","All Origins","16 years and over",2016,1,60639000,912
"70","Men","All Races","All Origins","16 years and over",2016,2,62045000,909
"71","Men","All Races","All Origins","16 years and over",2016,3,63104000,911
"72","Men","All Races","All Origins","16 years and over",2016,4,61933000,927
"73","Men","All Races","All Origins","16 years and over",2017,1,61488000,950
"74","Men","All Races","All Origins","16 years and over",2017,2,63222000,934
"75","Men","All Races","All Origins","16 years and over",2017,3,64179000,937
"76","Men","All Races","All Origins","16 years and over",2017,4,63033000,946
"77","Men","All Races","All Origins","16 years and over",2018,1,63037000,965
"78","Men","All Races","All Origins","16 years and over",2018,2,64437000,959
"79","Men","All Races","All Origins","16 years and over",2018,3,65216000,973
"80","Men","All Races","All Origins","16 years and over",2018,4,63879000,993
"81","Men","All Races","All Origins","16 years and over",2019,1,64075000,1004
"82","Men","All Races","All Origins","16 years and over",2019,2,65354000,1000
"83","Men","All Races","All Origins","16 years and over",2019,3,65655000,1002
