"","industry","major_occupation","minor_occupation","race_gender","industry_total","employ_n","year"
"1","Agriculture and related","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",2349000,961000,2020
"2","Agriculture and related","Management, professional, and related occupations","Professional and related occupations","TOTAL",2349000,58000,2020
"3","Agriculture and related","Service occupations","Protective service occupations","TOTAL",2349000,13000,2020
"4","Agriculture and related","Service occupations","Service occupations, except protective","TOTAL",2349000,94000,2020
"5","Agriculture and related","Sales and office occupations","Sales and related occupations","TOTAL",2349000,12000,2020
"6","Agriculture and related","Sales and office occupations","Office and administrative support occupations","TOTAL",2349000,96000,2020
"7","Agriculture and related","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",2349000,931000,2020
"8","Agriculture and related","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",2349000,10000,2020
"9","Agriculture and related","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",2349000,33000,2020
"10","Agriculture and related","Production, transportation, and material moving occupations","Production occupations","TOTAL",2349000,42000,2020
"11","Agriculture and related","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",2349000,99000,2020
"12","Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",684000,146000,2020
"13","Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Professional and related occupations","TOTAL",684000,104000,2020
"14","Mining, quarrying, and oil and gas extraction","Service occupations","Protective service occupations","TOTAL",684000,1000,2020
"15","Mining, quarrying, and oil and gas extraction","Service occupations","Service occupations, except protective","TOTAL",684000,6000,2020
"16","Mining, quarrying, and oil and gas extraction","Sales and office occupations","Sales and related occupations","TOTAL",684000,11000,2020
"17","Mining, quarrying, and oil and gas extraction","Sales and office occupations","Office and administrative support occupations","TOTAL",684000,38000,2020
"18","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",684000,0,2020
"19","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",684000,208000,2020
"20","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",684000,39000,2020
"21","Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations","Production occupations","TOTAL",684000,57000,2020
"22","Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",684000,74000,2020
"23","Construction","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",10786000,2210000,2020
"24","Construction","Management, professional, and related occupations","Professional and related occupations","TOTAL",10786000,337000,2020
"25","Construction","Service occupations","Protective service occupations","TOTAL",10786000,14000,2020
"26","Construction","Service occupations","Service occupations, except protective","TOTAL",10786000,46000,2020
"27","Construction","Sales and office occupations","Sales and related occupations","TOTAL",10786000,145000,2020
"28","Construction","Sales and office occupations","Office and administrative support occupations","TOTAL",10786000,545000,2020
"29","Construction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",10786000,6000,2020
"30","Construction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",10786000,6404000,2020
"31","Construction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",10786000,618000,2020
"32","Construction","Production, transportation, and material moving occupations","Production occupations","TOTAL",10786000,153000,2020
"33","Construction","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",10786000,307000,2020
"34","Manufacturing","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",14550000,2845000,2020
"35","Manufacturing","Management, professional, and related occupations","Professional and related occupations","TOTAL",14550000,2247000,2020
"36","Manufacturing","Service occupations","Protective service occupations","TOTAL",14550000,34000,2020
"37","Manufacturing","Service occupations","Service occupations, except protective","TOTAL",14550000,176000,2020
"38","Manufacturing","Sales and office occupations","Sales and related occupations","TOTAL",14550000,631000,2020
"39","Manufacturing","Sales and office occupations","Office and administrative support occupations","TOTAL",14550000,1148000,2020
"40","Manufacturing","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",14550000,17000,2020
"41","Manufacturing","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",14550000,301000,2020
"42","Manufacturing","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",14550000,653000,2020
"43","Manufacturing","Production, transportation, and material moving occupations","Production occupations","TOTAL",14550000,5334000,2020
"44","Manufacturing","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",14550000,1162000,2020
"45","Durable goods","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",9129000,1767000,2020
"46","Durable goods","Management, professional, and related occupations","Professional and related occupations","TOTAL",9129000,1620000,2020
"47","Durable goods","Service occupations","Protective service occupations","TOTAL",9129000,17000,2020
"48","Durable goods","Service occupations","Service occupations, except protective","TOTAL",9129000,79000,2020
"49","Durable goods","Sales and office occupations","Sales and related occupations","TOTAL",9129000,344000,2020
"50","Durable goods","Sales and office occupations","Office and administrative support occupations","TOTAL",9129000,697000,2020
"51","Durable goods","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",9129000,7000,2020
"52","Durable goods","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",9129000,233000,2020
"53","Durable goods","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",9129000,414000,2020
"54","Durable goods","Production, transportation, and material moving occupations","Production occupations","TOTAL",9129000,3322000,2020
"55","Durable goods","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",9129000,629000,2020
"56","Nondurable goods","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",5421000,1078000,2020
"57","Nondurable goods","Management, professional, and related occupations","Professional and related occupations","TOTAL",5421000,627000,2020
"58","Nondurable goods","Service occupations","Protective service occupations","TOTAL",5421000,17000,2020
"59","Nondurable goods","Service occupations","Service occupations, except protective","TOTAL",5421000,97000,2020
"60","Nondurable goods","Sales and office occupations","Sales and related occupations","TOTAL",5421000,288000,2020
"61","Nondurable goods","Sales and office occupations","Office and administrative support occupations","TOTAL",5421000,451000,2020
"62","Nondurable goods","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",5421000,11000,2020
"63","Nondurable goods","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",5421000,68000,2020
"64","Nondurable goods","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",5421000,239000,2020
"65","Nondurable goods","Production, transportation, and material moving occupations","Production occupations","TOTAL",5421000,2012000,2020
"66","Nondurable goods","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",5421000,533000,2020
"67","Wholesale and retail trade","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",18989000,1607000,2020
"68","Wholesale and retail trade","Management, professional, and related occupations","Professional and related occupations","TOTAL",18989000,1214000,2020
"69","Wholesale and retail trade","Service occupations","Protective service occupations","TOTAL",18989000,68000,2020
"70","Wholesale and retail trade","Service occupations","Service occupations, except protective","TOTAL",18989000,611000,2020
"71","Wholesale and retail trade","Sales and office occupations","Sales and related occupations","TOTAL",18989000,8769000,2020
"72","Wholesale and retail trade","Sales and office occupations","Office and administrative support occupations","TOTAL",18989000,1971000,2020
"73","Wholesale and retail trade","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",18989000,45000,2020
"74","Wholesale and retail trade","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",18989000,129000,2020
"75","Wholesale and retail trade","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",18989000,656000,2020
"76","Wholesale and retail trade","Production, transportation, and material moving occupations","Production occupations","TOTAL",18989000,585000,2020
"77","Wholesale and retail trade","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",18989000,3333000,2020
"78","Wholesale trade","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",3380000,519000,2020
"79","Wholesale trade","Management, professional, and related occupations","Professional and related occupations","TOTAL",3380000,172000,2020
"80","Wholesale trade","Service occupations","Protective service occupations","TOTAL",3380000,10000,2020
"81","Wholesale trade","Service occupations","Service occupations, except protective","TOTAL",3380000,39000,2020
"82","Wholesale trade","Sales and office occupations","Sales and related occupations","TOTAL",3380000,1165000,2020
"83","Wholesale trade","Sales and office occupations","Office and administrative support occupations","TOTAL",3380000,445000,2020
"84","Wholesale trade","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",3380000,28000,2020
"85","Wholesale trade","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",3380000,24000,2020
"86","Wholesale trade","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",3380000,144000,2020
"87","Wholesale trade","Production, transportation, and material moving occupations","Production occupations","TOTAL",3380000,130000,2020
"88","Wholesale trade","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",3380000,704000,2020
"89","Retail trade","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",15609000,1088000,2020
"90","Retail trade","Management, professional, and related occupations","Professional and related occupations","TOTAL",15609000,1041000,2020
"91","Retail trade","Service occupations","Protective service occupations","TOTAL",15609000,58000,2020
"92","Retail trade","Service occupations","Service occupations, except protective","TOTAL",15609000,573000,2020
"93","Retail trade","Sales and office occupations","Sales and related occupations","TOTAL",15609000,7603000,2020
"94","Retail trade","Sales and office occupations","Office and administrative support occupations","TOTAL",15609000,1526000,2020
"95","Retail trade","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",15609000,17000,2020
"96","Retail trade","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",15609000,105000,2020
"97","Retail trade","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",15609000,513000,2020
"98","Retail trade","Production, transportation, and material moving occupations","Production occupations","TOTAL",15609000,456000,2020
"99","Retail trade","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",15609000,2628000,2020
"100","Transportation and utilities","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",8552000,1012000,2020
"101","Transportation and utilities","Management, professional, and related occupations","Professional and related occupations","TOTAL",8552000,402000,2020
"102","Transportation and utilities","Service occupations","Protective service occupations","TOTAL",8552000,47000,2020
"103","Transportation and utilities","Service occupations","Service occupations, except protective","TOTAL",8552000,1e+05,2020
"104","Transportation and utilities","Sales and office occupations","Sales and related occupations","TOTAL",8552000,150000,2020
"105","Transportation and utilities","Sales and office occupations","Office and administrative support occupations","TOTAL",8552000,1843000,2020
"106","Transportation and utilities","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",8552000,3000,2020
"107","Transportation and utilities","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",8552000,210000,2020
"108","Transportation and utilities","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",8552000,515000,2020
"109","Transportation and utilities","Production, transportation, and material moving occupations","Production occupations","TOTAL",8552000,352000,2020
"110","Transportation and utilities","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",8552000,3917000,2020
"111","Information","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",2594000,651000,2020
"112","Information","Management, professional, and related occupations","Professional and related occupations","TOTAL",2594000,1095000,2020
"113","Information","Service occupations","Protective service occupations","TOTAL",2594000,6000,2020
"114","Information","Service occupations","Service occupations, except protective","TOTAL",2594000,38000,2020
